رقم العميل,اسم العميل,المديونية (ريال),تمت حركة في 2026,حالة المبيعات,الإيقاف الكلي,رقم الجوال / الهاتف
1989,مؤسسة عصر التكييف للأجهزة المنزلية,22329.15,نعم,نشط,نشط,0593030644
1892,مؤسسة تواصل الأمداد للأجهزة الالكترونية,22150.25,نعم,موقوف,نشط,
1284,مؤسسة سما الأقمار التجارية,21577.06,نعم,نشط,نشط,0572375221 / 0505707736
1156,شركة السحاب العالية للتجارة (بن صالح ),21506.92,نعم,نشط,نشط,0507375125
1580,مؤسسة تميز البدر للتجارة,21321.53,نعم,نشط,نشط,0500315038 / 0115466184
2171,مؤسسة برودة للتجارة,21250.20,نعم,نشط,نشط,0550123950
1338,مؤسسة فهد علي حمد الحربي للتجاره - فرع 2,21229.25,نعم,نشط,نشط,0533612018
2041,محل علي وان للأجهزة المنزلية,20817.45,نعم,نشط,نشط,0590829999
1740,مؤسسة العرض الافضل للتجارة,20616.27,نعم,موقوف,نشط,0531966607
2119,شركة درب الخبراء,20591.23,نعم,نشط,نشط,0551552123
2146,مؤسسة ربيع المتحدون للتجارة,20565.40,نعم,نشط,نشط,0557716893
1467,موسسه محمد صالح ابراهيم الشايع للتجاره,20418.76,نعم,نشط,نشط,0505255133
1635,شركة دارين  ينبع للمقاولات والتجارة,20370.00,نعم,موقوف,نشط,0555554994
2216,مؤسسة الجيل الحديث للاجهزة المنزلية,20354.40,نعم,موقوف,نشط,0504608946
1308,محل العالم العبقري التجارية,19989.49,نعم,نشط,نشط,0509221250
2161,شركة ايلاف المتطورة التجارية,19899.05,نعم,نشط,نشط,0503708860
2188,ابن رابعه - مبروك عوض مرسل ال عبدالله عون الصيعري,19860.00,نعم,نشط,نشط,0550157216 / 0554564699
1272,محل شبكة المجد الحوطه0508475340,19837.70,نعم,نشط,نشط,
2014,مؤسسة اجواء الشتاء والصيف للاجهزة المنزلية,19774.80,نعم,نشط,نشط,0509580867 / 0556934857
1908,مؤسسة سعد ماشع مشعان المطيري للتجارة,19736.31,نعم,نشط,نشط,0500435432
1847,شركة فلكسي السعودية للتجارة,19720.58,نعم,نشط,نشط,0530160603 / 0503244066
1851,مؤسسة نبع النسيم للاجهزة المنزلية فرع الخليج 2,19113.58,نعم,نشط,نشط,0532740183
2063,مؤسسة الشاشة الذكية,19097.01,نعم,موقوف,نشط,0534546755
1904,مؤسسة المنزل الحديث للاجهزة المنزلية,19094.00,نعم,نشط,نشط,0549320366
1819,شركة السفير الريادي التجارية,18974.01,نعم,نشط,نشط,0568571724 / 0500018279
2076,شركة رواد التكييف,18963.60,نعم,نشط,نشط,0554332404
1091,مؤسسة النخبة للاجهزة المنزلية,18840.37,نعم,موقوف,نشط,0550714000
1516,شركة بحر الجليد للاجهزة المنزلية,18749.10,نعم,موقوف,نشط,0560070018
2138,شركة نفوذ المجال  التجارية,18714.00,نعم,نشط,نشط,0532760503
1279,معرض التوفيق للأجهزة الإلكترونية,18712.82,نعم,نشط,نشط,0502230870
1195,شركة سيوف العوالي المحدوة -ismart,18663.57,نعم,موقوف,نشط,0549099055
1064,المجد ابهاء 0507498914,18491.48,نعم,نشط,نشط,0507498914
1364,maqbool  hafar    مكبول,18429.42,نعم,نشط,نشط,0557488544
2083,شركة كفاءة العربية للاجهزة الالكترونية,18411.05,نعم,موقوف,نشط,0558468870 / 0566656597
1292,مؤسسة يحي عامر محمد القداح التجارية,18224.59,نعم,نشط,نشط,0504444107
1002,الشركة العالمية لإمداد الاسواق المركزية,18054.75,نعم,نشط,نشط,05071570250 / 0557843797
1194,مؤسسة ماسا المتحدة للاجهزةالالكترونية,17961.13,نعم,موقوف,نشط,0560607023
1062,محل الناصر طريق المدينة 050986643,17756.44,نعم,نشط,نشط,059886642
1744,مؤسسة جديد العاصمة للتجارة,17520.71,نعم,نشط,نشط,0504494010
2042,النظام الذهبي للتجارة,17398.73,نعم,نشط,نشط,0502566827
1664,مؤسسة روعة المناخ للتجارة,17273.52,نعم,نشط,نشط,0539445382
2096,مؤسسة عصر التمكين للأجهزة الإكترونية,17216.50,نعم,موقوف,نشط,0507252465 / 0505642407
1866,مؤسسة سمو الفجر للأجهزة المنزلية,17204.87,نعم,نشط,نشط,0563176863
1357,bilal  raffah      (بلال  رفح ),17155.43,نعم,نشط,نشط,0502225796
1702,مؤسسة عاصمة الرواد التجارية,16922.26,نعم,موقوف,نشط,010172074
2053,مؤسسة اناقة سكني للتجارة,16886.60,نعم,نشط,نشط,0541454735
2002,شركة الكيان الافضل للتجارة,16795.30,نعم,نشط,نشط,0562714099
2203,مؤسسسة بيت الاستبدال للاجهزة المنزلية,16453.50,نعم,نشط,نشط,0508019931
1251,موسسه ابراهيم القميشي0537797221,16267.20,نعم,موقوف,نشط,
1459,مؤسسة عبد الله حمدي عبد الله ال حلبوب,16243.88,نعم,نشط,نشط,0547966221
1101,بسمة التميز عميل الحوبة,16082.57,نعم,نشط,نشط,0541868921 / 0505563123
2123,شركة مخازن المملكة العالمية التجارية فرع الخليج,16080.50,نعم,نشط,نشط,0506956866
1241,مؤسسة واد الجليد للتجارة,15708.15,نعم,نشط,نشط,0542134830
1193,مؤسسة انوارنجم البطين  DURMA,15705.57,نعم,نشط,نشط,0559345331
1621,مؤسسة ارتقاء الاندلس للاجهزة المنزلية,15474.40,نعم,موقوف,نشط,0566
2160,مؤسسة بحر الاجهزة الكهربائية,14897.00,نعم,نشط,نشط,0500696613
1641,مؤسسة شذا العالمية للأجهزة الإلكترونية,14830.04,نعم,نشط,نشط,053353917
2130,مؤسسة سلاسل التفرد للأجهزة المنزلية,14678.60,نعم,نشط,نشط,0530048034 / 0557371092
1939,مؤسسة الشروق الهادي,14642.56,نعم,نشط,نشط,0506712870
1225,مؤسسة سلطان الحربي,14552.65,نعم,موقوف,موقوف,0590014424
2212,شركة طرق العماد,14462.35,نعم,نشط,نشط,0563006838
1967,شركة تمارا للتمويل,14299.39,نعم,موقوف,نشط,0538063009
1335,مؤسسة رمز الروابي للتجارة,14247.13,نعم,نشط,نشط,0505460034
2185,مؤسسة البيت السعودي التجارية,14196.40,نعم,نشط,نشط,0543441234
1184,عيس حسن خلف ال خليف للالكترونيات,14170.56,نعم,موقوف,نشط,0595290025
1071,مؤسسة احمد عبده السفياني,14119.74,نعم,نشط,نشط,050000001
1950,مؤسسة جهز بيتك للتجارة,14102.24,نعم,نشط,نشط,0556280011
1791,شركة بنش مارك لتنظيم المعارض والموتمرات,13798.00,نعم,موقوف,نشط,
2104,مؤسسة خدمات الاجهزة التجارية,13768.14,نعم,نشط,نشط,
1554,مؤسسة الهدف السادس,13750.44,نعم,موقوف,نشط,0555211993
1306,مؤسسة فاطمه رفدان بن عايص القحطاني التجارية,13671.99,نعم,نشط,نشط,0500203630
1247,نسيم المدينه0594488029,13475.15,نعم,موقوف,موقوف,
2214,مؤسسة طيار احمد علي الطيار التجارية,13457.55,نعم,نشط,نشط,0530951095
1346,مؤسسة ركن المدينة للأجهزة الإلكترونية,13307.18,نعم,نشط,نشط,0533524557
1048,المدارات البلد الخميس 0568636533,13203.48,نعم,نشط,نشط,056863533
1029,مؤسسة امنه احمد خضير التجارية -فارس الاربعين,13038.70,نعم,موقوف,نشط,0503354062
1642,مؤسسة فاطمة عثمان محمد شوك التجارية,12946.29,نعم,موقوف,نشط,05555 / 0555
2256,عمر عبدالله يسلم السحيم الصيعري,12537.35,نعم,نشط,نشط,
1134,موسسة حمزه صالح الانصاري -ينبع,12087.20,نعم,نشط,نشط,0505363357
2190,محل عباقرة الجزيرة للجهزة الإلكترونية,11945.20,نعم,نشط,نشط,0551623445
1969,شركة حلول نون للتسويق الدلكتروني,11706.78,نعم,نشط,نشط,8001160210
1345,almadeena المدينة,11305.50,نعم,نشط,نشط,
1290,مؤسسة عائشة سدحان السبيعي -الجزيرة الخرمة,11297.60,نعم,موقوف,نشط,0507421025
1097,مؤسسة الذاكرة للأجهزة الإلكترونية,11173.00,نعم,نشط,نشط,0502628313
1594,مؤسسة صالح ابراهيم احمد للتجارة,11000.80,نعم,موقوف,نشط,0590130066 / 0561966963
1053,مؤسسة فايز شارع المطيري للمقاولات,10971.95,نعم,نشط,نشط,050505050
2163,شركة كيوم المحدودة شركة شخص واحد,10948.35,نعم,نشط,نشط,0531302033
1200,مؤسسة فجر العاصمة للتكييف والتبريد,10786.90,نعم,موقوف,نشط,0544183412
1850,مؤسسة منبع الاجهزة للتجارة,10751.86,نعم,نشط,نشط,0562970122
2283,مؤسسة اجهزة ريفا,10527.60,نعم,نشط,نشط,0550141004
2093,شركة هرم الاجهزة للتجارة,10455.45,نعم,موقوف,نشط,0567800322 / 0505642407
2191,شركة اوشن سفن للتجار ة,10283.30,نعم,نشط,نشط,0545555945
1371,مؤسسة سليمان عبد الله سليمان الكليوي التجارية,10266.32,نعم,نشط,نشط,0533360173
2169,ابوسلطان علي بن الطعيز,9841.00,نعم,نشط,نشط,0504790868
2296,فندق عبدالله مبروك سالم الصيعري للشقق الفندقية,9656.20,نعم,نشط,نشط,0500798001
1139,روائع الجزيرة - المدينه,9643.60,نعم,نشط,نشط,0553826274
2088,مؤسسة مدار التكيف التجارية,9600.25,نعم,موقوف,نشط,0545105251 / 0541071307
2013,مؤسسة سحاب الخير الاجهزة المنزلية,9528.40,نعم,نشط,نشط,0594610662
2245,شركة دريم سات للأجهزة الإلكترونية,9524.95,نعم,نشط,نشط,0597661595
2070,شركة جراند هايبر السعودية,9450.40,نعم,موقوف,نشط,0549200908
1714,مؤسسة درة المستشار,9423.10,نعم,موقوف,نشط,
1573,شركة البركة الوطنية للتجارة,9390.71,نعم,موقوف,نشط,0504382931
2125,مؤسسة حنان علي ابراهيم العلوي للاجهزة المنزلية,9351.15,نعم,نشط,نشط,0568263430
2094,مؤسسة فهد عبدالالة بن عبدالله المنعمى للاجهزة المنزلية,9038.90,نعم,موقوف,نشط,0540912275 / 0567382903
1577,شركة تكنوميك تكنولجي المحدودة,8907.75,نعم,نشط,نشط,0536226272
2079,مؤسسة الضمان العام للاجهزة الالكترونية,8878.65,نعم,موقوف,نشط,0569501892 / 0503782474
1020,شركة المنطقة الكهربائية للاجهزة الالكترونية,8767.50,نعم,موقوف,نشط,0537755610 / 0504669141
2069,مؤسسة ابراهيم عبدالعزيز بن ابراهيم الزايد لصيانة الالكترونيات,8634.70,نعم,نشط,نشط,0534699463
2268,شركة دره الخليج المتطورة,8585.05,نعم,نشط,نشط,0567320374
2085,شركة بيت الرواد التجارية شركة شخص واحد,8421.45,نعم,موقوف,نشط,0535836755 / 0503010623
2118,شركة تريندول دي دابليو سي,8242.60,نعم,نشط,نشط,02123310200
2091,شركة القوه الباردة للتجارة,8104.55,نعم,نشط,نشط,0509997667
1822,شركة وقت الاجهزة للتجارة,8014.89,نعم,نشط,نشط,0550144744 / 0542899046
2078,شركة جوهرة الصديق للاجهزة المنزلية,7593.05,نعم,موقوف,نشط,0530968757
1924,مؤسسة حنان عبدالعزيز اليحياء التجارية,7429.69,نعم,نشط,نشط,0580317311
1263,مؤسسة محمد ابراهيم العامر التجارية,7405.41,نعم,موقوف,نشط,05
1529,شركة تزامن للتجارة,7402.75,نعم,موقوف,موقوف,0502222688
1049,محل صالحة الخالدية 0556357504,7271.57,نعم,نشط,نشط,0556357504
1480,سلمان مبارك الصيعري,7172.50,نعم,موقوف,نشط,
1484,شركة نجد الريم للتجارة,7128.15,نعم,موقوف,نشط,0544765815 / 0556740042
1265,مؤسسة جبال عسير للتجارة,7080.40,نعم,نشط,نشط,0555452153
1289,مؤسسة جواهر ماجد مرزوق البقمي لصيانة الاكترونيات,7059.83,نعم,نشط,نشط,0538697848 / 0509217072
1099,شركة اجواء الاندلس للتجارة,7024.01,نعم,موقوف,نشط,0541060364
1958,مؤسسة سمية محمد الغامدي التجارية (بن مشرف ),6940.89,نعم,نشط,نشط,0541182004 / 0555533787
1942,مؤسسة عايشه ابراهيم محمد الاسمري للتجارة,6636.07,نعم,نشط,نشط,0537437660 / 0576335649
1457,عميل صالح كاش خميس,6626.10,نعم,نشط,نشط,0560082689
1871,مؤسسة عائشة عبدالهادي المولد التجاارية,6396.99,نعم,نشط,نشط,4032349178 / 0537595004
1628,ماي ستور للاجهزة الالكترونية,6342.20,نعم,موقوف,نشط,0535555280
1456,عميل الحلو كاش خميس,6291.91,نعم,موقوف,نشط,0546693252
1730,مؤسسة الكون ستور,6115.65,نعم,موقوف,نشط,05
1900,شركة قمة الوصول للتجارة,6027.60,نعم,نشط,نشط,0538062419
2162,مؤسسة عواض عتيق الذيابي العتيبي التجارية,5959.90,نعم,موقوف,نشط,05553373308 / 0553373308
1128,مركز مشعل,5946.00,نعم,نشط,نشط,
1288,al sama khamislbar,5901.00,نعم,نشط,نشط,0553052988
1907,مؤسسسة شمول المتحدة للتجارة,5738.20,نعم,موقوف,نشط,0552662256
1407,متجر تميم المهيدب,5698.00,نعم,موقوف,نشط,
2135,خالد سعيد بن لبرش,5622.95,نعم,نشط,نشط,0582094583
1322,مؤسسة الاختصاصات الوحيدة للتجارة,5607.94,نعم,نشط,نشط,0553445474
2252,عبدالعزيز من طرف احمد الغامدي 0546280610,5565.85,نعم,نشط,نشط,
1176,مؤسسةعبدالله الاحمدي - الانوار - المدينة,5509.38,نعم,نشط,نشط,0541705577
1416,شركة علي عبد الرحمن العمودي للتجارة,5500.50,نعم,نشط,نشط,0590412323
1498,محل احمد صالح الجهني,5364.50,نعم,موقوف,نشط,0534400169
1157,ستار للاكترونيات,5292.94,نعم,نشط,نشط,0506809352
1763,مؤسسة عبده فضل عبده العبدلي التجارية,5290.40,نعم,نشط,نشط,0505568415
2116,محل ناصر جلهم ابراهيم الدوسري للاجهزة الالكترونية,5178.66,نعم,نشط,نشط,0509051758
1678,مؤسسة منزل الاجهزة التجارية,5081.90,نعم,نشط,نشط,0558579260
2001,الشركه السعوديه للمتاجر الشامله,5027.86,نعم,نشط,نشط,0539768007
1220,مؤسسة خالد سالم المهري -المهرجان,4986.40,نعم,نشط,نشط,0590102568
1878,مؤسسة شروق للاجهزة المنزلية,4965.00,نعم,نشط,نشط,0565974409
1864,مؤسسة ساحل ابيض التجارية,4890.56,نعم,نشط,نشط,0501235786
1816,مؤسسة سحاب كيان للتجارة المزاحمية1,4710.90,نعم,موقوف,موقوف,
1975,محل نوكيا شخصي,4686.29,نعم,نشط,نشط,11111111 / 1111111111
1920,احمد المسرحي - رائد,4682.75,نعم,نشط,نشط,
1736,مؤسسة فهد بريك اللحياني للمقاولات المعمارية,4596.05,نعم,موقوف,نشط,0557285022
2136,مؤسسة خالد عبدالله بن موسي البلوي للتجار,4527.41,نعم,نشط,نشط,
2144,مؤسسة بست ون التجارة,4385.71,نعم,نشط,نشط,0593744367
2174,محل حامده تويم سعيد الثقفي للأجهزة المنزلية,4369.05,نعم,موقوف,نشط,0534497611
1135,موسسة سراب نشمي العرماني -الزعيم ينبع,4358.75,نعم,نشط,نشط,0557590848
2115,صالح بن مبروك,4334.08,نعم,نشط,نشط,
2016,شركة الجزيرة الشامل الحديثة للتجارة,4316.50,نعم,نشط,نشط,0533266152
1727,مؤسسة بلورة ثلج للاجهزة المنزلية,4315.10,نعم,موقوف,نشط,05000 / 0500
1191,عرفات الكترونيات,4300.64,نعم,نشط,نشط,0556564977
1341,مؤسسة ثلوج العاصمة للتجارة,4103.04,نعم,موقوف,نشط,0542258207 / 05
2134,مؤسسة ثي إكس بي,4047.98,نعم,نشط,نشط,0582094583
1613,مؤسسة روضة الخيالة للمقاولات,4019.93,نعم,موقوف,نشط,0505254574
1450,محل شارقة شرورة لبيع الاجهزة الالكترونية,3960.40,نعم,نشط,نشط,0508306019
1881,مؤسسة بحر المبدع التجارية,3840.25,نعم,نشط,نشط,0542030957 / 0502009094
1708,مؤسسة فولت للاجهزة المنزلية,3796.05,نعم,موقوف,نشط,
2223,عمر محمد بن سعدان,3356.85,نعم,نشط,نشط,
1589,شركة الضوء البارق للتجارة,3326.86,نعم,نشط,نشط,0504101600
1331,شركة الامان الذهبي للتجارة,3300.01,نعم,نشط,نشط,0500426083
2170,مؤسسة فيصل زكريا التركي,3268.30,نعم,موقوف,نشط,0551100050
1715,سمير يوسف,3263.70,نعم,نشط,نشط,
1415,محمد الشافعي خاص وليس تبع الشركة,3237.25,نعم,نشط,نشط,
1461,مؤسسة تميز البدر للتجارة,3016.55,نعم,موقوف,نشط,0564992930
1389,فارس الغامدي بنك الراجحي العزيزية,2956.80,نعم,نشط,نشط,
1500,شركة تقنية الألفية للتجارة شركة شخص واحد,2952.88,نعم,نشط,نشط,0583707002
1733,شركة الفرن الذهبي للتجارة,2909.50,نعم,نشط,نشط,0500838827
1382,المحاسب  القانوني,2892.25,نعم,نشط,نشط,
2227,مؤسسة مطراء شداد هذيمر الحربي للمقاولات,2889.55,نعم,نشط,نشط,0501735343
1162,مؤسسة بيان الصايغ - المها- المدينة,2851.70,نعم,نشط,نشط,0576619192
1401,محمود حلبوب,2635.60,نعم,نشط,نشط,
1897,مؤسسة اجهزة اوزون التجارية,2604.50,نعم,موقوف,نشط,0569411879
1057,مؤسسة نجم الخميس,2512.89,نعم,نشط,نشط,050500500
1548,مؤسسة الفنية الاساسية للتجارة,2492.20,نعم,نشط,نشط,0501088628
1513,مؤسسة مروي بن هزاع بن جويعد الروقي التجارية,2083.10,نعم,نشط,نشط,0502782502
1682,مؤسسة نوير صبير الرويلي للمقاولات,2003.00,نعم,موقوف,نشط,
1706,مؤسسة روائع فريش للاجهزة المنزلية,2000.82,نعم,موقوف,نشط,0537266988
1127,محل الأنظمة طبرجل التجارية,1935.65,نعم,موقوف,نشط,055638083
1940,مؤسسة نهضه العاصمه التجاريه,1915.90,نعم,موقوف,نشط,
2045,مؤسسة ريدان شاهين,1903.37,نعم,نشط,نشط,0554008912
1806,شركة عالم كدس للمعارض,1836.55,نعم,موقوف,نشط,
1499,مؤسسة حمزه محمد احمد حفظي للتجارة,1689.64,نعم,نشط,نشط,0543042950 / 0565854902
1522,مؤسسة الثريا الحديث للاجهزة المنزلية / شادن محمد البلوي,1676.65,نعم,موقوف,نشط,0551876288 / 141425252
2148,مؤسسة سوامد للعقار,1609.00,نعم,موقوف,نشط,05
1576,مؤسسة علاالله عبدالله بن موسى طوهري,1587.50,نعم,موقوف,نشط,
1568,مؤسسة نجوم الاجهزة للاجهزة الالكترونية,1586.85,نعم,نشط,نشط,0552933744
1716,شركة الحسين توب اب للتجارة,1554.90,نعم,موقوف,نشط,050000
1707,احمد عايض محمد العنزي,1415.45,نعم,نشط,نشط,
1869,مؤسسة فاستر ستور للاجهزة الالكترونية1,1368.00,نعم,نشط,نشط,0559080045 / 0545458448
1946,مؤسسة درة المدينة للاجهزة,1284.80,نعم,نشط,نشط,0503594847
2348,مؤسسة عدنان عبدالله السالم التجارية,1265.00,نعم,نشط,نشط,0504928259
2082,مؤسسة الاسمر للاجهزة المنزلية,1262.45,نعم,موقوف,نشط,0591226848
2228,عبدالله بداح القحطاني شرطة العزيزية,1132.75,نعم,نشط,نشط,0566047773
1479,مؤسسة المثلث الذهبي للتجارة,1086.75,نعم,موقوف,نشط,
1971,شركة ريحانة للتطوير والمقاولات,1002.70,نعم,نشط,نشط,0559675278
